Category,Ref Code,Bar Code,Name,Sell Price,Cost,Buy Price
Drinks,7380000078,7380000078,Red,0.59,0,0
Drinks,8079380841,8079380841,Fuze Strawberry Lemonade,1.19,0,0
Grocery,7874208919,7874208919,Pie Shells,2.89,0,0
Drinks,2500005605,2500005605,Ruby Red Grapefruit,1.89,0,0
Drinks,7800008240,7800008240,Dr. Pepper,1.59,0,0
Grocery,2862112398,2862112398,Eggs,4.69,0,0
Drinks,1200004301,1200004301,Kick Limeade,2.09,0,0
Drinks,4900002319,4900002319,Sprite,1.99,0,0
Drinks,4100000211,4100000211,Glass X-Sweet Tea,1.69,0,0
Drinks,4900005011,4900005011,Dt. Coke,2.59,0,0
Drinks,7077000154,7077000154,Chocolate Milk,1.29,0,0
Drinks,4180035400,4180035400,Welchs Grape,1.19,0,0
Grocery,4143100291,4143100291,Homestyle,3.99,0,0
Grocery,4369503700,4369503700,Hot Pockets,1.29,0,0
Drinks,1.19,1.19,M.M. Pink Lemonade,1.09,0,0
Drinks,7084781460,7084781460,Peace Tea Texas Style,0.99,0,0
Non Food Item,2610000573,2610000573,Newport 100 Box,5.99,0,0
Drinks,7546033866,7546033866,1 Liter Water,1.19,0,0
Drinks,4900000044,4900000044,Coke,1.59,0,0
Dairy,7077000014,7077000014, Milk Pint,1.29,0,0
Drinks,7380000295,7380000295,Orange,0.79,0,0
Drinks,5200032673,5200032673,32 Grape Gatorade,1.99,0,0
Drinks,7077000115,7077000115,Buttermilk  Quart,2.39,0,0
Drinks,4900005450,4900005450,Full Throttle,2.39,0,0
Drinks,1200002136,1200002136,Ocean Spray Cranberry,1.89,0,0
Drinks,1200081131,1200081131,Live Wire,1.69,0,0
Drinks,8079380391,8079380391,NOS,2.39,0,0
Drinks,7077001536,7077001536,Fruit Punch Gallon,2.89,0,0
Drinks,1200001269,1200001269,Lipton Tea,1.59,0,0
Drinks,1547301255,1547301255,J.J.  Orange,1.09,0,0
Drinks,5200032866,5200032866,Fruit Punch,1.39,0,0
Drinks,1200000131,1200000131,Mountain Dew,1.69,0,0
Drinks,2500005802,2500005802,M.M. Fruit Punch,1.19,0,0
Drinks,1200000129,1200000129,Pepsi,1.69,0,0
Drinks,4900001679,4900001679,Mellow Yellow,1.09,0,0
Grocery,7790051374,7790051374,Sausage Egg Biscuit,2.49,0,0
Drinks,5100013803,5100013803,Regular V8,1.69,0,0
Drinks,4900000725,4900000725,Mellow Yellow,0.69,0,0
Grocery,8298801002,8298801002,White Castle,2.09,0,0
Drinks,4850000176,4850000176,10 oz Apple Juice,1.09,0,0
Drinks,4900004523,4900004523,Powerade Grape,1.49,0,0
Drinks,2900000822,2900000822,Blue Bonnet,1.99,0,0
Drinks,4900000929,4900000929,C.F. Diet,0.69,0,0
Drinks,7380000308,7380000308,Grape,0.79,0,0
Drinks,7279602271,7279602271,I.B.C Root Beer,1.19,0,0
Drinks,7800008246,7800008246,Dr. Pepper,2.59,0,0
Drinks,4900005015,4900005015,Sprite,2.59,0,0
Drinks,4900000715,4900000715,Sprite Zero,0.69,0,0
Drinks,2720000232,2720000232,Kool Mild Box,6.29,0,0
Drinks,7380000439,7380000439,Strawberry Kiwi,0.79,0,0
Drinks,4900000254,4900000254,C.F Coke,0.69,0,0
Drinks,4900000658,4900000658,Dt. Coke,0.69,0,0
Drinks,7380000310,7380000310,Peach,0.79,0,0
Drinks,4900000371,4900000371,Powerade Red,0.99,0,0
Drinks,2500005601,2500005601,Apple Juice,1.89,0,0
Drinks,7800000315,7800000315,Dr. Pepper,0.69,0,0
Drinks,1126999100,1126999100,Red Bull,2.19,0,0
Drinks,7077000460,7077000460,J.J.  Fruit Punch,0.95,0,0
Drinks,7800008340,7800008340,Dt. Dr. Pepper,1.59,0,0
Drinks,4900003687,4900003687,Full Throttle,2.39,0,0
Drinks,4900005032,4900005032,Powerade Kiwi,0.99,0,0
Drinks,7084781116,7084781116,Monster ,2.39,0,0
Drinks,4850000860,4850000860,16 oz orange juice,1.79,0,0
Automotive,7313570139,7313570139,De Icer,1.49,0,0
Automotive,7061210040,7061210040,Armorall,2.79,0,0
Automotive,7480400753,7480400753,Washer Fluid,2.59,0,0
Automotive,37551124444,37551124444,Spark Plug,2.09,0,0
Automotive,3332224443,3332224443,Duplex Power Steering,1.69,0,0
Automotive,8113153531,8113153531,Super Tech Washer Fluid,2.59,0,0
Automotive,7656879631,7656879631,Havoline 10w40,4.69,0,0
Automotive,9749686529,9749686529,Bug Wash,2.79,0,0
Automotive,2840002953,2840002953,Dill Pickle,1.49,0,0
Automotive,9742710875,9742710875,Black Electrical Tape,1.29,0,0
Automotive,4506103849,4506103849,2 Cycle outboard,4.79,0,0
Automotive,7247798008,7247798008,Mosquito Coils,2.37,0,0
Automotive,7310212480,7310212480,2 Cylcle Oil,1.49,0,0
Automotive,7919100122,7919100122,Castrol 20w50,5.69,0,0
Automotive,8113179202,8113179202,Super Tech Antifreeze 50/50,9.59,0,0
Automotive,2160320328,2160320328,Starting Fluid,2.89,0,0
Automotive,7723108065,7723108065,Patch Kit,1.19,0,0
Automotive,2779700004,2779700004,Leak Seal,0.99,0,0
Automotive,7656879629,7656879629,Havoline 5w-30,4.69,0,0
Automotive,7115300131,7115300131,STP Gas Treatment,1.89,0,0
Automotive,3332217743,3332217743,Fuel Injector,1.59,0,0
Automotive,7061210010,7061210010,Armorall,5.49,0,0
Automotive,7480401519,7480401519,Antifreeze,14.79,0,0
Automotive,3755112444,3755112444,Spark Plug,2.29,0,0
Automotive,9762000087,9762000087,Duct Tape,3.99,0,0
Automotive,7919100112,7919100112,Castrol 10w40,5.69,0,0
Automotive,3755101109,3755101109,Spark Plug,2.29,0,0
Automotive,7723100101,7723100101,Tubless Tire Repair,2.39,0,0
Automotive,1628150720,1628150720,Slime Tire Plugs,4.59,0,0
Automotive,7617110319,7617110319,Peachy Peach,1.19,0,0
Automotive,1628150710,1628150710,Slime Tube Patch Kit,2.89,0,0
Automotive,7115300204,7115300204,STP Power Steering Fluid,2.19,0,0
Automotive,3910102212,3910102212,Dot-3 Brake Fluid,2.69,0,0
Automotive,7919100092,7919100092,Castrol 10w30,5.69,0,0
Automotive,2160395006,2160395006,TriStar ND-30,2.99,0,0
Automotive,7676827500,7676827500,Starting Fluid,2.89,0,0
Automotive,7676811300,7676811300,Mechanics Tire Inflator,3.99,0,0
Automotive,7656879630,7656879630,Havoline 10w30,4.69,0,0
Automotive,7115378573,7115378573,STP Gas Treatment,3.09,0,0
Automotive,2160395005,2160395005,Tri Star HD-30,3.09,0,0
Automotive,7956711005,7956711005,WD 40,5.19,0,0
Automotive,2160395009,2160395009,Tri Star Type A,3.09,0,0
Automotive,7617110311,7617110311,Wild Cherry,1.19,0,0
Automotive,7313530001,7313530001,Brake Fluid,2.69,0,0
Automotive,2160340012,2160340012,Brake Fluid,2.69,0,0
Automotive,3549600659,3549600659,Tire Inflator,3.99,0,0
Automotive,2989273684,2989273684,Top Post Battery Terminal,4.19,0,0
Automotive,7656879632,7656879632,Havoline 20w50,4.69,0,0
Automotive,7313570121,7313570121,Autoguard Starting Fluid,2.89,0,0
Automotive,3332218001,3332218001,Duplex Type A Trans Fluid,3.09,0,0
Beer,7289000478,7289000478,Heineken,2.89,0,0
Beer,8066095605,8066095605,6 pk Corona Extra,9.59,0,0
Beer,78250000461,78250000461,Sparks Black Single ,1.78,0,0
Beer,25,25,32oz Bud Bottle,31,0,0
Beer,20,20,7oz Bud Bottles Case,17,0,0
Beer,29,29,32oz Busch Bottles Case,22,0,0
Beer,32,32,Corona Bottle Case,35,0,0
Beer,1820025533,1820025533,Mango-O-Rita,3.09,0,0
Beer,18200000182,18200000182,6pk 16oz Bud Can,6.79,0,0
Beer,18200000631,18200000631,Single 16oz Busch Can,1.05,0,0
Beer,1.82E+11,1.82E+11,6pk 16oz Busch Can,5.89,0,0
Beer,8427999380,8427999380,Pink Single Bottle,1.69,0,0
Beer,8200075748,8200075748,Smirnoff Screwdriver 6pk,9.79,0,0
Beer,1820000168,1820000168,bud single bottle,1.18,0,0
